site,ancestor_node,t_branch_start,t_branch_end,event_indicator
3,INTNODE1321,0,0,0
3,INTNODE1321,0,1,0
3,INTNODE1324,0,3,0
3,INTNODE1324,0,2,0
3,INTNODE1324,0,0,0
3,INTNODE1324,0,0,0
3,INTNODE1324,0,0,0
3,INTNODE1324,0,1,0
3,INTNODE2304,25,33,0
3,INTNODE2304,25,27,0
3,INTNODE2304,51,51,0
3,INTNODE2304,6,7,0
3,INTNODE2304,55,55,0
3,INTNODE2304,21,28,0
3,INTNODE2304,5,5,0
3,INTNODE2304,50,50,0
3,INTNODE2304,35,38,0
3,INTNODE2304,33,33,0
3,INTNODE2304,54,54,0
3,INTNODE2304,50,51,0
3,INTNODE2304,57,57,0
3,INTNODE2304,50,50,0
3,INTNODE2304,46,48,0
3,INTNODE2304,3,13,1
3,INTNODE2304,6,7,0
3,INTNODE2304,25,30,0
3,INTNODE2304,49,49,0
3,INTNODE2304,53,54,0
3,INTNODE2304,55,55,0
3,INTNODE2304,20,25,0
3,INTNODE2304,55,56,0
3,INTNODE2304,48,48,0
3,INTNODE2304,51,56,0
3,INTNODE2304,51,52,0
3,INTNODE2304,31,31,0
3,INTNODE2304,24,29,0
3,INTNODE2304,28,29,0
3,INTNODE2304,55,56,0
3,INTNODE2304,27,27,0
3,INTNODE2304,49,49,0
3,INTNODE2304,24,25,0
3,INTNODE2304,6,6,0
3,INTNODE2304,29,29,0
3,INTNODE2304,62,62,0
3,INTNODE2304,58,58,0
3,INTNODE2304,62,64,0
3,INTNODE2304,48,49,0
3,INTNODE2304,65,67,0
3,INTNODE2304,55,55,0
3,INTNODE2304,28,28,0
3,INTNODE2304,23,23,0
3,INTNODE2304,52,52,0
3,INTNODE2304,30,31,0
3,INTNODE2304,54,54,0
3,INTNODE2304,51,51,0
3,INTNODE2304,30,30,0
3,INTNODE2304,47,48,0
3,INTNODE2304,30,32,0
3,INTNODE2304,57,58,0
3,INTNODE2304,50,52,0
3,INTNODE2304,53,53,0
3,INTNODE2304,51,54,0
3,INTNODE2304,30,32,0
3,INTNODE2304,52,52,0
3,INTNODE2304,30,30,0
3,INTNODE2304,30,32,0
3,INTNODE2304,12,12,0
3,INTNODE2304,58,60,0
3,INTNODE2304,31,33,0
3,INTNODE2304,20,27,0
3,INTNODE2304,11,14,0
3,INTNODE2304,57,57,0
3,INTNODE2304,51,53,0
3,INTNODE2304,53,53,0
3,INTNODE2304,42,51,0
3,INTNODE2304,22,22,0
3,INTNODE2304,56,56,0
3,INTNODE2304,49,50,0
3,INTNODE2304,53,54,0
3,INTNODE2304,51,52,0
3,INTNODE2304,54,54,0
3,INTNODE2304,15,16,0
3,INTNODE2304,59,60,0
3,INTNODE2304,6,7,0
3,INTNODE2304,63,66,0
3,INTNODE2304,50,52,0
3,INTNODE2304,19,19,0
3,INTNODE2304,0,1,0
3,INTNODE2304,28,28,0
3,INTNODE2304,48,49,0
3,INTNODE2304,31,31,0
3,INTNODE2304,41,41,0
3,INTNODE2304,57,57,0
3,INTNODE2304,30,30,0
3,INTNODE2304,54,54,0
3,INTNODE2304,56,56,0
3,INTNODE2304,51,54,0
3,INTNODE2304,29,30,0
3,INTNODE2304,49,50,0
3,INTNODE2304,1,3,0
3,INTNODE2304,13,15,0
3,INTNODE2304,55,58,0
3,INTNODE2304,28,28,0
3,INTNODE2304,59,60,0
3,INTNODE2304,54,55,0
3,INTNODE2304,5,5,0
3,INTNODE2304,20,20,0
3,INTNODE2304,31,33,0
3,INTNODE2304,46,46,0
3,INTNODE2304,52,53,0
3,INTNODE2304,31,34,0
3,INTNODE2304,11,11,0
3,INTNODE2304,49,49,0
3,INTNODE2304,21,25,0
3,INTNODE2304,50,52,0
3,INTNODE2304,49,49,0
3,INTNODE2304,53,54,0
3,INTNODE2304,13,13,0
3,INTNODE2304,27,27,0
3,INTNODE2304,52,52,0
3,INTNODE2304,58,58,0
3,INTNODE2304,57,59,0
3,INTNODE2304,13,14,0
3,INTNODE2304,53,53,0
3,INTNODE2304,55,62,0
3,INTNODE2304,46,47,0
3,INTNODE2304,32,34,0
3,INTNODE2304,38,38,0
3,INTNODE2304,51,51,0
3,INTNODE2304,6,6,0
3,INTNODE2304,29,29,0
3,INTNODE2304,50,51,0
3,INTNODE2304,29,29,0
3,INTNODE2304,19,19,0
3,INTNODE2304,47,47,0
3,INTNODE2304,51,52,0
3,INTNODE2304,51,53,0
3,INTNODE2304,47,48,0
3,INTNODE2304,54,54,0
3,INTNODE2304,30,30,0
3,INTNODE2304,52,54,0
3,INTNODE2304,1,5,0
3,INTNODE2304,22,24,0
3,INTNODE2304,47,48,0
3,INTNODE2304,47,48,0
3,INTNODE2304,28,30,0
3,INTNODE2304,50,51,0
3,INTNODE2304,5,5,0
3,INTNODE2304,30,31,0
3,INTNODE2304,53,54,0
3,INTNODE2304,27,32,1
3,INTNODE2304,50,52,0
3,INTNODE2304,51,53,0
3,INTNODE2304,54,54,0
3,INTNODE2304,51,51,0
3,INTNODE2304,60,66,0
3,INTNODE2304,50,50,0
3,INTNODE2304,49,49,0
3,INTNODE2304,5,5,0
3,INTNODE2304,30,30,0
3,INTNODE2304,19,20,0
3,INTNODE2304,34,35,0
3,INTNODE2304,55,56,0
3,INTNODE2304,54,58,0
3,INTNODE2304,59,59,0
3,INTNODE2304,32,33,0
3,INTNODE2304,51,54,0
3,INTNODE2304,53,54,0
3,INTNODE2304,31,31,0
3,INTNODE2304,47,50,0
3,INTNODE2304,34,35,0
3,INTNODE2304,52,53,0
3,INTNODE2304,29,32,0
3,INTNODE2304,55,56,0
3,INTNODE2304,51,53,0
3,INTNODE2304,22,22,0
3,INTNODE2304,49,49,0
3,INTNODE2304,28,28,0
3,INTNODE2304,50,50,0
3,INTNODE2304,54,55,0
3,INTNODE2304,55,60,0
3,INTNODE2304,53,54,0
3,INTNODE2304,28,28,0
3,INTNODE2304,46,49,0
3,INTNODE2304,57,57,0
3,INTNODE2304,29,30,0
3,INTNODE2304,39,42,0
3,INTNODE2304,52,55,0
3,INTNODE2304,23,23,0
3,INTNODE2304,7,7,0
3,INTNODE2304,59,59,0
3,INTNODE2304,56,58,0
3,INTNODE2304,30,30,0
3,INTNODE2304,28,29,0
3,INTNODE2304,35,37,0
3,INTNODE2304,49,52,0
3,INTNODE2304,31,31,0
3,INTNODE2304,54,54,0
3,INTNODE2304,12,13,0
3,INTNODE2304,57,57,0
3,INTNODE2304,56,58,0
3,INTNODE2304,49,51,0
3,INTNODE2304,53,53,0
3,INTNODE2304,51,53,0
3,INTNODE2304,49,52,0
