radius,site,node,density,cummuts,cumlength
5,2,INTNODE3259,0.142857142857143,1,7
6,2,INTNODE3811,0.125,1,8
21,11,INTNODE4201,0.0102040816326531,1,98
26,11,INTNODE4201,0.0101010101010101,2,198
53,11,INTNODE4201,0.0050251256281407,3,597
61,11,INTNODE4201,0.00596125186289121,4,671
73,11,INTNODE4201,0.00548245614035088,5,912
66,14,INTNODE4262,0.00458715596330275,1,218
120,14,INTNODE4262,0.00449438202247191,2,445
211,14,INTNODE4262,0.00206185567010309,3,1455
266,14,INTNODE4262,0.00118378218407813,4,3379
276,14,INTNODE4262,0.00126422250316056,5,3955
279,14,INTNODE4262,0.00147130946542423,6,4078
290,14,INTNODE4262,0.001591994541733,7,4397
297,14,INTNODE4262,0.00165871863985072,8,4823
7,15,INTNODE4236,0.0769230769230769,1,13
31,15,INTNODE4236,0.0194174757281553,2,103
98,15,INTNODE4236,0.00675675675675676,3,444
161,15,INTNODE4236,0.00330305532617671,4,1211
191,15,INTNODE4236,0.00217580504786771,5,2298
223,15,INTNODE4236,0.00171821305841924,6,3492
245,15,INTNODE4236,0.00160036579789666,7,4374
257,15,INTNODE4236,0.0015888778550149,8,5035
118,16,INTNODE4236,0.00179533213644524,1,557
136,16,INTNODE4236,0.00232828870779977,2,859
155,16,INTNODE4236,0.00268096514745308,3,1119
180,16,INTNODE4236,0.00219901044529962,4,1819
185,16,INTNODE4236,0.00253292806484296,5,1974
209,16,INTNODE4236,0.00225140712945591,6,2665
211,16,INTNODE4236,0.00287253141831239,8,2785
213,16,INTNODE4236,0.00308430431802605,9,2918
217,16,INTNODE4236,0.00320512820512821,10,3120
222,16,INTNODE4236,0.00322675271340569,11,3409
227,16,INTNODE4236,0.00324763193504736,12,3695
229,16,INTNODE4236,0.00344370860927152,13,3775
242,16,INTNODE4236,0.00340136054421769,14,4116
253,16,INTNODE4236,0.00309278350515464,15,4850
260,16,INTNODE4236,0.00308641975308642,16,5184
263,16,INTNODE4236,0.00326295585412668,17,5210
39,18,INTNODE4232,0.00763358778625954,1,131
126,18,INTNODE4224,0.000543478260869565,1,1840
129,18,INTNODE4224,0.00099601593625498,2,2008
160,18,INTNODE4224,0.000968992248062015,3,3096
13,19,INTNODE4256,0.0158730158730159,1,63
162,19,INTNODE4238,0.000867302688638335,1,1153
165,19,INTNODE4238,0.00164609053497942,2,1215
167,19,INTNODE4238,0.00238853503184713,3,1256
176,19,INTNODE4238,0.00268997982515131,4,1487
179,19,INTNODE4238,0.00301750150875075,5,1657
192,19,INTNODE4238,0.00283956460009465,6,2113
197,19,INTNODE4238,0.00290818446198587,7,2407
214,19,INTNODE4238,0.00293147673140344,8,2729
219,19,INTNODE4238,0.00297029702970297,9,3030
220,19,INTNODE4238,0.0032499187520312,10,3077
223,19,INTNODE4238,0.00343428036216047,11,3203
225,19,INTNODE4238,0.00357568533969011,12,3356
226,19,INTNODE4238,0.0038156736131494,13,3407
234,19,INTNODE4238,0.00366876310272537,14,3816
248,19,INTNODE4238,0.00350303596450257,15,4282
249,19,INTNODE4238,0.00366720146688059,16,4363
250,19,INTNODE4238,0.00386979285226497,17,4393
251,19,INTNODE4238,0.00405222872579919,18,4442
253,19,INTNODE4238,0.00416575312431484,19,4561
254,19,INTNODE4238,0.0043122035360069,20,4638
256,19,INTNODE4238,0.0044126917419626,21,4759
259,19,INTNODE4238,0.00449897750511247,22,4890
265,19,INTNODE4238,0.00452044025157233,23,5088
1,19,INTNODE3039,0.5,1,2
13,19,INTNODE3765,0.0105263157894737,1,95
13,21,INTNODE4060,0.00490196078431373,1,204
